,arg1,arg2,relation
5780,Sandro Pertini museum,Алессандро Пертини,FOUNDED_BY
5781,MPL Communications,Пол Маккартни,FOUNDED_BY
5782,Единство,политическая партия,FOUNDED_BY
5783,United Nations Mission to Investigate Alleged Uses of Chemical Weapons in the Syrian Arab Republic,Пан Ги Мун,FOUNDED_BY
5784,Ассоциация государств Юго-Восточной Азии,Таиланд,FOUNDED_BY
5785,YouTube TV,YouTube,FOUNDED_BY
5786,Parco Faunistico di Spormaggiore,Тренто,FOUNDED_BY
5787,Театр-музей Дали,Сальвадор Дали,FOUNDED_BY
5788,Missile Technology Control Regime,Италия,FOUNDED_BY
5789,Чингизиды,Чингисхан,FOUNDED_BY
5790,"Duni, Assam",Ассам,FOUNDED_BY
5791,Шведская королевская академия наук,Карл Линней,FOUNDED_BY
5792,Hashomer Museum,Израиль,FOUNDED_BY
5793,Outercurve Foundation,Майкрософт,FOUNDED_BY
5794,Национальное объединение,Жан-Мари Ле Пен,FOUNDED_BY
5795,PostNord,Швеция,FOUNDED_BY
5796,Императорский орден Розы,Педру I,FOUNDED_BY
5797,Association of South-East Asia,Филиппины,FOUNDED_BY
5798,Avanade,Майкрософт,FOUNDED_BY
5799,Яндекс.Карты,Яндекс,FOUNDED_BY
5800,Южнотихоокеанское соглашение о региональной торговле и экономическом сотрудничестве,Микронезия,FOUNDED_BY
5801,MJJ Productions,Майкл Джексон,FOUNDED_BY
5802,Vista-United Telecommunications,The Walt Disney Company,FOUNDED_BY
5803,Amazon Go,Amazon,FOUNDED_BY
5804,Partnership on AI,Apple,FOUNDED_BY
5805,Всемирный день свободы печати,Организация Объединённых Наций,FOUNDED_BY
5806,Восточная Хань,Гуанъу-ди,FOUNDED_BY
5807,Tango (платформа),Google,FOUNDED_BY
5808,Radio Vala,Косово,FOUNDED_BY
5809,Symbian Foundation,Nokia,FOUNDED_BY
5810,Missile Technology Control Regime,Франция,FOUNDED_BY
5811,Zagreb Bus Station,Загреб,FOUNDED_BY
5812,Художественные музеи Китая,Мао Цзэдун,FOUNDED_BY
5813,St Mary Redcliffe and Temple School,Елизавета I,FOUNDED_BY
5814,Surtees,"Сёртис, Джон",FOUNDED_BY
5815,"H211, LLC",Ларри Пейдж,FOUNDED_BY
5816,Галерея современного искусства (Милан),Милан,FOUNDED_BY
5817,Trümmerverwertungsgesellschaft,Франкфурт-на-Майне,FOUNDED_BY
5818,Австралийская группа,Ирландия,FOUNDED_BY
5819,Организация Объединённых Наций,Греция,FOUNDED_BY
5820,Cadinen Pottery,Вильгельм II,FOUNDED_BY
5821,Azad Hind Radio,Субхас Чандра Бос,FOUNDED_BY
5822,Bloomberg Philanthropies,Майкл Блумберг,FOUNDED_BY
5823,Seva Dal,Джавахарлал Неру,FOUNDED_BY
5824,Европейское космическое агентство,Бельгия,FOUNDED_BY
5825,общество «Мон Пелерин»,Фридрих Август фон Хайек,FOUNDED_BY
5826,The Digital Village,Дуглас Адамс,FOUNDED_BY
5827,Единство,2000 год,FOUNDED_BY
5828,DDEX,Apple,FOUNDED_BY
5829,Континентальная армия,Джордж Вашингтон,FOUNDED_BY
5830,Cassa Depositi e Prestiti,Италия,FOUNDED_BY
5831,Вассенарские соглашения,Греция,FOUNDED_BY
5832,Zale Media LLC,человек,FOUNDED_BY
5833,Австралийская группа,Греция,FOUNDED_BY
5834,Collegium Budapest,Швейцария,FOUNDED_BY
5835,Европейское космическое агентство,Швейцария,FOUNDED_BY
5836,Northern Songs,Пол Маккартни,FOUNDED_BY
5837,Alliance for Open Media,Майкрософт,FOUNDED_BY
5838,House of Yang,Вэнь-ди (династия Суй),FOUNDED_BY
5839,Material World Charitable Foundation,Джордж Харрисон,FOUNDED_BY
5840,Pontifical John Paul II Institute for Studies on Marriage and Family,Иоанн Павел II,FOUNDED_BY
5841,Организация Объединённых Наций,Польша,FOUNDED_BY
5842,Nofei Prat,Иерусалим,FOUNDED_BY
5843,Организация Объединённых Наций,Бельгия,FOUNDED_BY
5844,Церковь Emacs,Ричард Столлман,FOUNDED_BY
5845,Викисловарь,Фонд Викимедиа,FOUNDED_BY
5846,Ранголи,Индия,FOUNDED_BY
5847,Шведское радио,Швеция,FOUNDED_BY
5848,ASECNA,Буркина-Фасо,FOUNDED_BY
5849,Южнотихоокеанское соглашение о региональной торговле и экономическом сотрудничестве,Палау,FOUNDED_BY
5850,Fujinkai,Япония,FOUNDED_BY
5851,Институт открытых данных,Тим Бернерс-Ли,FOUNDED_BY
5852,Guide Hou,Сюань-ди,FOUNDED_BY
5853,Объединение в поддержку республики,Жак Ширак,FOUNDED_BY
5854,Anne Frank Center for Mutual Respect,"Франк, Отто",FOUNDED_BY
5855,Национальный интернат имени Барроса Араны,Хозе Мануэль Бальмаседа,FOUNDED_BY
5856,Flughafen München GmbH,Бавария,FOUNDED_BY
5857,University of Botswana.,1982 год,FOUNDED_BY
5858,Azienda Trasporti Consorziali di Bologna,Болонья,FOUNDED_BY
5859,Opekta,"Франк, Отто",FOUNDED_BY
5860,Coalition for Epidemic Preparedness Innovations,Германия,FOUNDED_BY
5861,Википедия,Ларри Сэнгер,FOUNDED_BY
5862,Collegium Budapest,Берлин,FOUNDED_BY
5863,Institut hospitalo-universitaire,Николя Саркози,FOUNDED_BY
5864,Dossia,США,HEADQUARTERED_IN
5865,IDG,США,HEADQUARTERED_IN
5866,Florida Academy of Physician Assistants,США,HEADQUARTERED_IN
5867,Clover Studio,Япония,HEADQUARTERED_IN
5868,"Tobu Kogyo Co., Ltd.",Япония,HEADQUARTERED_IN
5869,Wales–Argentina Society,Уэльс,HEADQUARTERED_IN
5870,Society of American Gastrointestinal and Endoscopic Surgeons,США,HEADQUARTERED_IN
5871,Честер,Англия,HEADQUARTERED_IN
5872,Front Wing,Япония,HEADQUARTERED_IN
5873,Radiant Records,США,HEADQUARTERED_IN
5874,Home-Start International,Англия,HEADQUARTERED_IN
5875,World Dryer,США,HEADQUARTERED_IN
5876,American Society of Plastic Surgeons,США,HEADQUARTERED_IN
5877,Sugino,Япония,HEADQUARTERED_IN
5878,Sega Yonezawa,Япония,HEADQUARTERED_IN
5879,Вайтафон,США,HEADQUARTERED_IN
5880,Third Screen Media,США,HEADQUARTERED_IN
5881,William Clarke & Son,Ирландия,HEADQUARTERED_IN
5882,Corinthian Colleges,США,HEADQUARTERED_IN
5883,Kurzweil Music Systems,США,HEADQUARTERED_IN
5884,Movie Gallery,США,HEADQUARTERED_IN
5885,Career Soft,Япония,HEADQUARTERED_IN
5886,Tech Deck,США,HEADQUARTERED_IN
5887,ELP Communications,США,HEADQUARTERED_IN
5888,Sandella's Flatbread Café,США,HEADQUARTERED_IN
5889,Квиддич Канада,Канада,HEADQUARTERED_IN
5890,Charisma Records,Англия,HEADQUARTERED_IN
5891,Japan News Network,Япония,HEADQUARTERED_IN
5892,Jobstoday Ltd.,Ирландия,HEADQUARTERED_IN
5893,National Senior Classical League,США,HEADQUARTERED_IN
5894,ELGA LabWater,Англия,HEADQUARTERED_IN
5895,Dingwall Designer Guitars,Канада,HEADQUARTERED_IN
5896,Stonewall Democrats,США,HEADQUARTERED_IN
5897,Aperture Science,США,HEADQUARTERED_IN
5898,Astral Oil Works,США,HEADQUARTERED_IN
5899,Merv Griffin Enterprises,США,HEADQUARTERED_IN
5900,National Association of Heavy Equipment Training Schools,США,HEADQUARTERED_IN
5901,Endo International plc,Ирландия,HEADQUARTERED_IN
5902,Mightylions1 Media,США,HEADQUARTERED_IN
5903,NetSolve,США,HEADQUARTERED_IN
5904,Conspiracy,Венгрия,HEADQUARTERED_IN
5905,Legacy Recordings,США,HEADQUARTERED_IN
5906,Loch Lomond Seaplanes,Шотландия,HEADQUARTERED_IN
5907,Commission on Accreditation for Law Enforcement Agencies,США,HEADQUARTERED_IN
5908,Cage Force,Япония,HEADQUARTERED_IN
5909,The Albert Kennedy Trust,Англия,HEADQUARTERED_IN
5910,Yeti,Япония,HEADQUARTERED_IN
5911,MTV Two,Англия,HEADQUARTERED_IN
5912,Ram,Япония,HEADQUARTERED_IN
5913,Международное общество валторнистов,США,HEADQUARTERED_IN
5914,Conference of Consulting Actuaries,США,HEADQUARTERED_IN
5915,NHK World,Япония,HEADQUARTERED_IN
5916,Zoo Corporation,Япония,HEADQUARTERED_IN
5917,Universities Scotland,Шотландия,HEADQUARTERED_IN
5918,Whirlpool,Япония,HEADQUARTERED_IN
5919,Patch-Tag,США,HEADQUARTERED_IN
5920,The Booth Centre,Англия,HEADQUARTERED_IN
5921,Wardley,США,HEADQUARTERED_IN
5922,Glovision,Япония,HEADQUARTERED_IN
5923,Век перевода,США,HEADQUARTERED_IN
5924,Giant Records,США,HEADQUARTERED_IN
5925,ToeJam & Earl Productions,США,HEADQUARTERED_IN
5926,SendRegning,Норвегия,HEADQUARTERED_IN
5927,Canadian Métis Council,Канада,HEADQUARTERED_IN
5928,BH Global,Англия,HEADQUARTERED_IN
5929,Кинг Африка,Испания,HEADQUARTERED_IN
5930,P.H.I.R.M.,США,HEADQUARTERED_IN
5931,TechCrunch,США,HEADQUARTERED_IN
5932,Rakusai Cable Vicion,Япония,HEADQUARTERED_IN
5933,MobyGames,США,HEADQUARTERED_IN
5934,Razor 1911,Норвегия,HEADQUARTERED_IN
5935,Fight OUT Loud,США,HEADQUARTERED_IN
5936,Zeppotron,Англия,HEADQUARTERED_IN
5937,Canada West Airlines,Канада,HEADQUARTERED_IN
5938,Solo Mobile,Канада,HEADQUARTERED_IN
5939,Asoliva,Испания,HEADQUARTERED_IN
5940,Ada Initiative,США,HEADQUARTERED_IN
5941,Isadora Records,Канада,HEADQUARTERED_IN
5942,Fifth Generation Systems,США,HEADQUARTERED_IN
5943,SyQuest Technology,США,HEADQUARTERED_IN
5944,Sleep Research Society,США,HEADQUARTERED_IN
5945,Aironet Wireless Communications,США,HEADQUARTERED_IN
5946,French Gerleman,США,HEADQUARTERED_IN
5947,Socony-Vacuum Oil,США,HEADQUARTERED_IN
5948,eVoice,США,HEADQUARTERED_IN
5949,Miss University of Florida,США,HEADQUARTERED_IN
5950,QAD,США,HEADQUARTERED_IN
5951,East Point Software,Япония,HEADQUARTERED_IN
5952,PPT Fitness and Nutrition,Ирландия,HEADQUARTERED_IN
5953,Miss Earth Canada,Канада,HEADQUARTERED_IN
5954,MGM Worldwide Television,США,HEADQUARTERED_IN
5955,ААБК,США,HEADQUARTERED_IN
5956,Discovery Holding Company,США,HEADQUARTERED_IN
5957,Red 5 Comics,США,HEADQUARTERED_IN
5958,Isurus,Южная Америка,HEADQUARTERED_IN
5959,Association of Black Psychologists,США,HEADQUARTERED_IN
5960,Academic Pediatric Association,США,HEADQUARTERED_IN
5961,Daiei Film,Япония,HEADQUARTERED_IN
5962,Child Welfare League of Canada,Канада,HEADQUARTERED_IN
5963,Fierro Group,Испания,HEADQUARTERED_IN
5964,GAE,Япония,HEADQUARTERED_IN
5965,Miss Spain,Испания,HEADQUARTERED_IN
5966,Public Interest Research Group,США,HEADQUARTERED_IN
5967,Gaps,Япония,HEADQUARTERED_IN
5968,Balmoral Golf Club,Северная Ирландия,HEADQUARTERED_IN
5969,Libera!,Испания,HEADQUARTERED_IN
5970,Футбольная Конференция Англии,Англия,HEADQUARTERED_IN
5971,Horizon Therapeutics,Ирландия,HEADQUARTERED_IN
5972,Magic Bytes,США,HEADQUARTERED_IN
5973,AmaWaterways,США,HEADQUARTERED_IN
5974,Sundance Institute,США,HEADQUARTERED_IN
5975,Compañía Balear de Automóviles,Испания,HEADQUARTERED_IN
5976,Association of Biomolecular Resource Facilities,США,HEADQUARTERED_IN
5977,Fractal Analytics,США,HEADQUARTERED_IN
5978,Toin Corporation,Япония,HEADQUARTERED_IN
5979,Clearnet,Канада,HEADQUARTERED_IN
5980,Hispavox,Испания,HEADQUARTERED_IN
5981,Merchant Shipbuilding Corporation,США,HEADQUARTERED_IN
5982,Sony Centre,Англия,HEADQUARTERED_IN
5983,Selsius Systems,США,HEADQUARTERED_IN
5984,Kawamura-ganjavian,Испания,HEADQUARTERED_IN
5985,Garden Networks,Канада,HEADQUARTERED_IN
5986,Национальный совет кинокритиков США,США,HEADQUARTERED_IN
5987,The Sam Loyd Company,США,HEADQUARTERED_IN
5988,Awwwards,Испания,HEADQUARTERED_IN
5989,Marc Anthony Collection,США,HEADQUARTERED_IN
